INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1791,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1792,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1793,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1794,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1795,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1796,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1797,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1798,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1799,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1800,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1801,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1802,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1803,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1804,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1805,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1806,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1807,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1808,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1809,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1810,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1811,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1812,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1813,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1814,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1815,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1816,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1817,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1818,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1819,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1820,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1821,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1822,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1823,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1824,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1825,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1826,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1827,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1828,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1829,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1830,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1831,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1832,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1833,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
